Year,NB.std,NB.res,KGU.std,KGU.res
1590,0.19454,0.20951,0.13126,0.01482
1591,1.02012,1.21106,0.98362,1.53086
1592,0.65067,0.69465,0.84541,1.05336
1593,0.86741,0.93472,1.03259,1.25396
1594,1.55044,1.65715,1.60138,1.65124
1595,1.4843,1.40594,1.10164,0.91283
1596,1.52774,1.42132,1.26067,1.12059
1597,0.75216,0.60976,0.41953,0.24129
1598,0.78624,0.76306,0.50197,0.79659
1599,1.32905,1.31529,0.98501,1.23889
1600,0.30158,0.18179,0.33661,0.56084
1601,0.90663,1.01007,0.88774,1.18197
1602,1.34567,1.41377,0.82401,1.00964
1603,1.28003,1.1928,0.78052,0.91662
1604,1.5207,1.45302,1.04664,1.11949
1605,1.70954,1.58699,0.87799,0.93762
1606,1.50953,1.29316,0.85251,0.97891
1607,0.75472,0.56148,0.30835,0.45827
1608,1.28987,1.20073,0.52956,0.80059
1609,1.48552,1.33089,0.60546,0.91458
1610,1.54175,1.33285,0.7602,1.0656
1611,1.18362,1.01084,0.82162,1.03213
1612,0.98899,0.87735,0.49524,0.72282
1613,1.15741,1.07523,0.60428,0.89681
1614,0.71158,0.61693,0.41388,0.67207
1615,1.35912,1.34579,0.64325,1.00645
1616,1.18982,1.1136,0.70501,1.0911
1617,1.45407,1.37322,0.69537,0.9962
1618,1.61591,1.51907,0.80025,1.04937
1619,1.23657,1.04966,0.69028,0.88921
1620,1.5641,1.43376,0.67708,0.89614
1621,1.60364,1.40229,0.83726,1.09687
1622,0.94822,0.74266,0.65098,0.78193
1623,0.51439,0.47019,0.47741,0.68409
1624,0.44458,0.48774,0.31857,0.6637
1625,0.79296,0.91757,0.48891,0.90224
1626,0.19971,0.26549,0.16434,0.44736
1627,0.99828,1.23384,0.49723,0.93547
1628,0.87651,1.00725,0.49586,0.97152
1629,0.82763,0.88389,0.58276,0.99449
1630,0.83112,0.95048,0.60259,0.9227
1631,0.63024,0.71149,0.4363,0.76507
1632,0.13875,0.30939,0.30983,0.61665
1633,0.97018,1.2117,0.80544,1.21378
1634,0.9443,1.06124,0.78714,1.00452
1635,1.02775,1.09904,1.03075,1.15296
1636,0.65068,0.70779,1.01041,0.99029
1637,0.50681,0.59993,0.81373,0.82911
1638,0.5773,0.70973,0.76558,0.90588
1639,0.9378,1.07376,1.0124,1.11736
1640,1.32298,1.39407,1.32792,1.29519
1641,1.26165,1.26762,1.35145,1.23301
1642,1.17774,1.21128,1.21576,0.98687
1643,1.34842,1.32014,1.08167,0.91864
1644,1.4016,1.31807,1.18766,1.15017
1645,1.15172,0.9891,1.06125,0.89093
1646,1.14322,1.036,1.02626,0.85535
1647,1.49398,1.39784,1.04717,1.09912
1648,0.37618,0.19364,0.63382,0.56741
1649,1.13875,1.21082,0.94025,1.01489
1650,1.32488,1.30818,1.10734,1.21447
1651,1.37491,1.23983,0.96587,0.73069
1652,0.92453,0.84045,0.67109,0.75029
1653,1.24262,1.19602,0.81062,0.99211
1654,0,-0.06332,0.17385,0.29028
1655,0.9677,1.12059,0.65065,1.10661
1656,1.01863,1.1182,0.94665,1.32787
1657,0.99282,0.99928,1.31817,1.12061
1658,0.60039,0.6648,0.89737,0.67879
1659,1.107,1.22941,0.89313,0.88609
1660,1.26065,1.32495,1.03495,1.05623
1661,1.04148,0.9808,0.98397,0.94354
1662,1.03054,1.02011,0.82775,0.99868
1663,0.62443,0.636,0.53501,0.66721
1664,0.85875,0.90692,0.4847,0.78026
1665,0.64185,0.68161,0.41136,0.76052
1666,0.83875,0.9032,0.77957,1.17801
1667,0.41068,0.49896,0.56641,0.84991
1668,0.84699,1.01271,0.88204,1.18821
1669,0.98921,1.10291,0.97981,1.11448
1670,0,0.14441,0.27788,0.36545
1671,1.06159,1.30669,1.13371,1.50667
1672,1.15134,1.24584,1.49744,1.59199
1673,1.23257,1.23683,1.39043,1.40051
1674,1.42378,1.4194,1.67362,1.49264
1675,1.05278,0.94399,1.4318,0.99212
1676,0.42883,0.37266,1.01345,0.56398
1677,1.16503,1.22182,1.28098,1.14103
1678,1.23287,1.19829,1.61126,1.43261
1679,1.01326,0.92531,1.44801,1.1459
1680,1.38259,1.3675,1.54788,1.32398
1681,1.31679,1.23759,1.26783,1.00535
1682,1.35964,1.23322,1.68523,1.20938
1683,1.65065,1.53405,1.66564,1.21981
1684,0.7454,0.5449,1.08702,0.37807
1685,0,-0.03217,0.2965,0.12294
1686,0.3488,0.52234,0.86932,0.87764
1687,1.36409,1.51403,1.55279,1.46448
1688,1.22793,1.2039,1.53864,1.41927
1689,1.30304,1.31885,1.80625,1.52459
1690,1.16907,1.14897,1.43272,1.1338
1691,1.2525,1.20115,1.50556,1.16277
